#毕业季#【又见“硬核”毕业照！#法医学生模拟犯罪现场调查拍毕业照# 】5月30日，山西医科大学法医专业的毕业生拍摄了一组专业特色的毕业照。同学们穿上白色的防护服，拉起警戒线，还从食堂要来面粉在地上勾勒现场，俨然一副拍大片的模样。他们说毕业照不想只是穿西装和校服，更希望用专业特色被大家记 ...展开全文c,5月30日 19:54 来自 微博 weibo.com,https://m.weibo.cn/detail/4510370792660613
【#美国骚乱已蔓延20城#】随着骚乱在美国约20个城市蔓延开来，多地的抗议活动走向暴力。底特律市一名19岁的男子在抗议者人群中遭枪击身亡。29日，#五角大楼派现役军警部队赴明尼苏达州#。目前，明尼阿波利斯的抗议活动持续升级。30日凌晨，明尼苏达州州长表示抗议活动仍在继续，局势依然“极其危险”。 ...展开全文c,5月30日 17:42 来自 微博 weibo.com,https://m.weibo.cn/detail/4510337699663576
【#不吸烟最时尚#，支持请转！】在第33个世界无烟日、第71个国际儿童节来临之际，卫健委等#五部门倡议成年人创无烟环境#：不在公共场所、室内工作场所和公共交通工具内吸烟，不让别人吸二手烟，争做无烟家庭，引导孩子树立“不吸烟最时尚”理念，送给孩子一份最珍贵的节日礼物—无烟健康的世界。 ...展开全文c,5月30日 15:01 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510297064565541
【#五角大楼派现役军警部队赴明尼苏达州#】由于抗议活动在美国多州蔓延，并引发不少暴力事件发生，当地时间5月29日晚间，五角大楼采取了罕见的措施，命令陆军将几支现役美国军事警察部队准备部署到明尼苏达州明尼阿波利斯维护治安，据悉此举是为了抑制抗议活动中的暴力行为再次升级而布置。据相关人员 ...展开全文c,5月30日 14:25 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510288135336144
【优秀！#西沙战士在盐碱沙地种出蔬菜#】海军驻西沙某部联合重庆交通大学科研团队，借鉴沙漠试验田种植经验将“沙滩”变成“良田”。经4个月摸索，研制出可以和珊瑚沙混合的粉末植物粘合材料，成功改造出适合蔬菜生长的“沃土”。沙滩上收获小白菜、生菜等7种蔬菜1500多斤，将大幅改善官兵生活。 ...展开全文c,5月30日 13:28 来自 军事 · 视频社区,https://m.weibo.cn/detail/4510273820691251
【#广州教育局回应小学教师涉嫌体罚学生#：已成立专项调查组】#广州市白云区教育局发布声明#：5月30日，微博网友“小岛里的大海”反映#广州市方圆实验小学#一名教师涉嫌体罚学生。接报后，我局高度重视，立即联合公安等部门迅速介入，成立专项调查组对该事件进行调查。事件调查结果将及时向社会公布。,5月30日 12:57 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510265930469320
【中国#驻美大使馆提醒中国公民警惕当地暴力示威#】据中国驻美大使馆官网，近期，美国一些地区发生暴力示威，部分商铺遭打砸哄抢。中国驻美国使馆提醒在美中国公民，密切关注当地安全形势发展，注意警方发布的有关游行、示威及可能发生骚乱的通知通告，避免前往相关危险区域。经营店铺的中国公民请切实 ...展开全文c,5月30日 12:28 来自 微博 weibo.com,https://m.weibo.cn/detail/4510258716295876
【在总书记心中，#什么是国之大者#？】“对国之大者要心中有数”，5月23日，习近平在看望参加政协会议的经济界委员时这样强调。什么是“国之大者”？如何做好今年工作？今年“两会”，习近平到团组对民生问题、生态文明建设、统筹疫情防控和经济社会发展、国防和军队建设等工作做出新部署，转发学习↓  ...展开全文c,5月30日 11:59 来自 微博 weibo.com,https://m.weibo.cn/detail/4510251200271524
"【#国台办批台立法机构插手干预香港事务#：必将自食恶果】全国人大通过涉港立法决定后，台湾地区立法机构发表所谓“声明”，在肆意攻击的同时，声称要“救援港人”和推动有关“立法”和行政措施。国台办发言人马晓光30日对此应询表示，台立法机构这些图谋不会得逞，插手干预香港事务，必将自食恶果。
...展开全文c",5月30日 10:39 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510231210139772
【致敬！#李兰娟张伯礼等获全国创新争先奖#】今天是第四个#全国科技工作者日#。上午，第二届全国创新争先奖表彰奖励大会在京举行。第二届全国创新争先奖对一批疫情防控”和“脱贫攻坚”中作出突出贡献的科技工作者给予了表彰。中国工程院院士李兰娟、张伯礼，数十年扎根农村大地的中国农业科学院蔬菜花 ...展开全文c,5月30日 10:34 来自 微博 weibo.com,https://m.weibo.cn/detail/4510229833822761
【#6月2日起国家大剧院限流开放#，#国家大剧院对医护人员免票#】据@国家大剧院 公告，国家大剧院将于6月2日起对公众有序限流开放参观。目前参观仅供个人线上实名制提前预约。可使用二代身份证等证件（护照、港澳通行证、台湾通行证）于参观日前一天23:00点前进行预约，每日预约参观人数限额600人。有序 ...展开全文c,5月30日 10:11 来自 微博 weibo.com,https://m.weibo.cn/detail/4510223999632440
【涉事白人警察被控“过失杀人”，#数十个美国城市爆发示威#】美国明尼阿波利斯市涉嫌暴力执法的白人警察德里克·沙文29日遭到逮捕，这距离非洲裔男子乔治·弗洛伊德死亡已有4天之久。明尼苏达州赫纳品县检察官弗里曼表示，德里克·沙文被控“三级谋杀”与“过失杀人罪”，检方将收集证据并正式提起诉讼。 ...展开全文c,5月30日 09:12 来自 微博 weibo.com,https://m.weibo.cn/detail/4510209353048541
"【#31省区市新增确诊4例#：均为境外输入】5月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例4例，均为境外输入病例（山东2例，上海1例，广东1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。
当日新增治愈出院病例11例，解除医学观察的密切接触者3 ...展开全文c",5月30日 08:23 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510197047152306
【人民日报：#坚决反对外部势力干预香港事务#】近代以来，中国人民经历了太多太多的磨难，对积贫积弱、四分五裂的悲惨历史有着刻骨铭心的记忆，对民族复兴、国家统一的光明前景有着孜孜不倦的追求。新中国成立以后，我们就豪迈地宣示，“帝国主义在东方架起几门大炮就可以征服一个国家、一个民族的历史 ...展开全文c,5月30日 08:06 来自 微博 weibo.com,https://m.weibo.cn/detail/4510192777096621
"【#上海新增1例境外输入#】据@健康上海12320 ，5月29日0—24时，通过口岸联防联控机制，报告1例境外输入性新冠肺炎确诊病例。新增治愈出院2例，均来自阿联酋。
病例为中国籍，在阿联酋工作生活，5月17日自阿联酋出发，当日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史 ...展开全文c",5月30日 07:49 来自 微博 weibo.com,https://m.weibo.cn/detail/4510188448958495
【#世卫发起建立新冠肺炎技术获取池#】5月29日，世卫组织宣布发起建立“#新冠肺炎技术获取池#”，通过开放的科学研究，加快新冠肺炎疫苗、检测、治疗及其他技术的研发，加快产品生产，使人们更快、更公平地获得现有和新的新冠肺炎防控技术与产品。据了解，“新冠肺炎技术获取池”项目的主要内容包括： ...展开全文c,5月30日 07:37 来自 微博 weibo.com 已编辑,https://m.weibo.cn/detail/4510185379272716
"【#山东日照新增2例境外输入病例#】5月29日0—24时，日照市新增2例境外输入新冠肺炎确诊病例。#山东日照2名船员确诊新冠肺炎#
5月28日，日照海关对入境船舶“中昌融盛”货船22名中国籍船员采样检测，5月28日23:47结果显示，3人核酸检测阳性。5月29日7时，经日照市疾控中心复核，1人核酸检测阳性，2人因 ...展开全文c",5月30日 07:11 来自 微博 weibo.com,https://m.weibo.cn/detail/4510178948746220
【转发祝贺！#我国一箭双星成功发射新技术试验卫星#】5月30日4时13分，我国在西昌卫星发射中心用长征十一号运载火箭，采取“一箭双星”方式，成功将新技术试验卫星G星、H星发射升空，卫星顺利进入预定轨道，任务圆满成功。新技术试验卫星G星、H星主要用于在轨开展新型对地观测技术试验。这也是长征系列 ...展开全文c,5月30日 06:55 来自 微博 weibo.com,https://m.weibo.cn/detail/4510174725502034
"【#特朗普宣布美国终止与世卫组织关系#】美国总统特朗普29日在白宫新闻发布会上宣布，美国将退出世界卫生组织，理由是世卫组织未能完成美国要求的改革。
特朗普在白宫的新闻发布会上说：“我们今天将终止与世界卫生组织的关系，并将这些资金转移到全球其他地方，满足全球紧急公共卫生需求。”
上周，特 ...展开全文c",5月30日 06:33 来自 微博 weibo.com,https://m.weibo.cn/detail/4510169160179011
【#你好，明天#】#建立侵害未成年人案件强制报告制度#，这是送给未成年人最好的儿童节礼物。接到报案，公安机关应立即接受，人民检察院应立案监督，当法治保护更有力，儿童权利就更有保障。“为人生的萌发季节，撑起一方舒枝展叶的晴空”，愿每个孩子都被温柔以待，愿法治之光照亮他们的前程。,5月29日 23:17 来自 微博 weibo.com,https://m.weibo.cn/detail/4510059642004448
【#四川隧道垮塌3人被困7天后获救#】5月22日11时57分左右，四川江油市厚坝镇武都引水工程永重支渠在建隧道发生垮塌，致3人失联。29日20时许，经过救援人员176小时的艰难营救，被困3人全部获救，目前已送往医院观察治疗。（人民日报记者宋豪新）  L人民日报的微博视频,5月29日 23:03 来自 微博视频,https://m.weibo.cn/detail/4510056014560993
【夜读：所有人都在努力，并不是只有你满腹委屈】没有谁会随随便便成功，所有的光鲜亮丽背后都有你想象不到的辛酸与汗水。趁着年华未老，勇敢走出去，接受风霜雨雪的洗礼吧。 °【夜读】所有人都在努力，并不是只有你满腹委屈,5月29日 22:45 来自 微博 weibo.com,https://m.weibo.cn/detail/4510051400699681
【人民锐评：#美式双标该破产了#！】美国政客的双标思维，既欺骗不了美国普通网友，也逃不过国际正义之士的眼睛。无论美化乱港暴徒，还是污名化香港警察，目的只有一个，就是为干涉中国内政找一个道貌岸然的借口。这种不论基本是非、无视基本事实的荒唐行为，只能自证毫无底线，最终声誉破产。 ...展开全文c,5月29日 22:09 来自 微博 weibo.com,https://m.weibo.cn/detail/4510042533886280
